Feature,Importance
MonthlyIncome,0.074144964
OverTime,0.064174338
Age,0.058181435
DailyRate,0.0508633
TotalWorkingYears,0.049296671
EmployeeNumber,0.047671356
MonthlyRate,0.045375333
HourlyRate,0.043815072
DistanceFromHome,0.043083584
YearsAtCompany,0.042466046
NumCompaniesWorked,0.037485678
StockOptionLevel,0.032433182
PercentSalaryHike,0.031698064
JobRole,0.030274281
YearsWithCurrManager,0.029623893
JobSatisfaction,0.027218196
YearsInCurrentRole,0.026895224
YearsSinceLastPromotion,0.025829632
JobLevel,0.024831379
TrainingTimesLastYear,0.024754997
MaritalStatus,0.024745206
JobInvolvement,0.022970711
EnvironmentSatisfaction,0.022880422
EducationField,0.022368508
RelationshipSatisfaction,0.019666849
WorkLifeBalance,0.019423748
Education,0.018973909
Department,0.012436027
BusinessTravel,0.012267114
Gender,0.008823209
PerformanceRating,0.005327671
EmployeeCount,0
StandardHours,0
Over18,0
